bucket,path,clicks,impressions,ctr,position
"School Profiles (/schools/*)","/schools/frank-phillips-college-perryton-campus-perryton-089ebe63",1,40,2.50,7.5
"School Profiles (/schools/*)","/schools/grayson-county-college-denison-9ce0709a",1,40,2.50,8.7
"School Profiles (/schools/*)","/schools/elite-beauty-academy-houston-5ae69f58",0,40,0.00,9.2
"School Profiles (/schools/*)","/schools/meraki-institute-llc-willis-04cd0fc7",0,40,0.00,10.1
"School Profiles (/schools/*)","/schools/ogle-school-hair-skin-nails-denton-e061d074",0,40,0.00,10.6
"School Profiles (/schools/*)","/schools/professional-skin-care-academy-llc-waxahachie-7bc5e2eb",0,40,0.00,10.9
"School Profiles (/schools/*)","/schools/the-men-barber-school-austin-3516d64f",0,40,0.00,6.0
"School Profiles (/schools/*)","/schools/yahweh-beauty-academy-killeen-998377f8",0,40,0.00,16.5
"School Profiles (/schools/*)","/schools/coastal-bend-college-beeville-e8538fb9",2,39,5.13,7.4
"School Profiles (/schools/*)","/schools/dallas-barber-stylist-college-dallas-b1be74f4",0,39,0.00,7.8
"School Profiles (/schools/*)","/schools/gulf-coast-barber-college-league-city-36526f46",0,39,0.00,8.9
"School Profiles (/schools/*)","/schools/progress-beauty-college-houston-c3abe52d",0,39,0.00,5.9
"Insight Articles (/insights/*)","/insights/texas-barber-school-length-vs-apprenticeship",0,38,0.00,16.7
"School Profiles (/schools/*)","/schools/community-barber-school-conroe-8544eca4",0,38,0.00,8.4
"School Profiles (/schools/*)","/schools/el-paso-community-college-el-paso-b999f13c",0,38,0.00,9.7
"School Profiles (/schools/*)","/schools/premier-barber-school-houston-houston-bbec540a",0,38,0.00,9.1
"School Profiles (/schools/*)","/schools/salon-boutique-academy-addison-65c6cced",0,38,0.00,13.3
"School Profiles (/schools/*)","/schools/trinity-valley-community-college-terrell-7bddba1e",0,38,0.00,7.7
"School Profiles (/schools/*)","/schools/89-beauty-school-cypress-39b2b899",1,37,2.70,8.9
"School Profiles (/schools/*)","/schools/its-academy-of-beauty-el-paso-el-paso-8566431f",1,37,2.70,15.9
"School Profiles (/schools/*)","/schools/opal-naomi-cosmetology-academy-llc-cedar-hill-53d945fb",1,37,2.70,6.1
"School Profiles (/schools/*)","/schools/bella-beauty-college-airport-campus-austin-6f2f2170",0,37,0.00,9.9
"School Profiles (/schools/*)","/schools/boss-nail-academy-wylie-2a3683d0",0,37,0.00,7.9
"School Profiles (/schools/*)","/schools/lester-s-beauty-academy-llc-elgin-1dc9f833",0,37,0.00,7.0
"School Profiles (/schools/*)","/schools/mca-skin-care-academy-llc-amarillo-74d701f1",0,37,0.00,9.8
"School Profiles (/schools/*)","/schools/the-beauty-pro-university-arlington-964b4311",0,37,0.00,9.5
"School Profiles (/schools/*)","/schools/tint-school-of-makeup-cosmetology-plano-260a4e10",0,37,0.00,8.5
"School Profiles (/schools/*)","/schools/viva-de-beauty-professional-academy-llc-arlington-377c3ec8",0,37,0.00,12.2
"School Profiles (/schools/*)","/schools/image-academy-cos-esthetician-barber-llc-houston-9eec65dd",0,36,0.00,10.8
"School Profiles (/schools/*)","/schools/immaculate-cut-barber-institute-fort-worth-tx-fort-worth-078ca2d9",0,36,0.00,7.7
"School Profiles (/schools/*)","/schools/master-barbers-institute-dallas-3a55ad06",0,36,0.00,11.1
"School Profiles (/schools/*)","/schools/mid-cities-barber-college-grand-prairie-bccefadd",0,36,0.00,8.9
"School Profiles (/schools/*)","/schools/southeast-texas-career-institute-silsbee-c05a23fe",0,36,0.00,8.8
"School Profiles (/schools/*)","/schools/adia-beauty-llc-grand-prairie-d5867a20",1,35,2.86,8.3
"School Profiles (/schools/*)","/schools/clarendon-college-pampa-center-pampa-5d42827f",1,35,2.86,8.5
"School Profiles (/schools/*)","/schools/fort-bend-barber-college-rosenberg-bf633f52",1,35,2.86,8.2
